timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665867023792,1214,Othoba,200,OK,Thread Group 1-1,text,true,,146309,224,7,7,https://www.othoba.com/,245,0,163
1665867023792,257,Othoba-0,301,Moved Permanently,Thread Group 1-1,text,true,,768,112,7,7,http://www.othoba.com/,245,0,163
1665867024054,952,Othoba-1,200,OK,Thread Group 1-1,text,true,,145541,112,7,7,https://www.othoba.com/,706,0,606
1665867024057,957,Othoba,200,OK,Thread Group 1-3,text,true,,146280,224,7,7,https://www.othoba.com/,102,0,51
1665867024057,102,Othoba-0,301,Moved Permanently,Thread Group 1-3,text,true,,768,112,7,7,http://www.othoba.com/,102,0,51
1665867024160,854,Othoba-1,200,OK,Thread Group 1-3,text,true,,145512,112,7,7,https://www.othoba.com/,601,0,502
1665867024270,749,Othoba,200,OK,Thread Group 1-4,text,true,,146287,224,7,7,https://www.othoba.com/,100,0,50
1665867024270,100,Othoba-0,301,Moved Permanently,Thread Group 1-4,text,true,,768,112,7,7,http://www.othoba.com/,100,0,50
1665867024371,648,Othoba-1,200,OK,Thread Group 1-4,text,true,,145519,112,7,7,https://www.othoba.com/,389,0,291
1665867023871,1149,Othoba,200,OK,Thread Group 1-2,text,true,,146340,224,7,7,https://www.othoba.com/,168,0,86
1665867023871,180,Othoba-0,301,Moved Permanently,Thread Group 1-2,text,true,,768,112,7,7,http://www.othoba.com/,168,0,86
1665867024054,966,Othoba-1,200,OK,Thread Group 1-2,text,true,,145572,112,7,7,https://www.othoba.com/,706,0,608
1665867024501,603,Othoba,200,OK,Thread Group 1-5,text,true,,146289,224,8,8,https://www.othoba.com/,101,0,50
1665867024501,101,Othoba-0,301,Moved Permanently,Thread Group 1-5,text,true,,768,112,8,8,http://www.othoba.com/,101,0,50
1665867024603,501,Othoba-1,200,OK,Thread Group 1-5,text,true,,145521,112,8,8,https://www.othoba.com/,246,0,174
1665867024664,602,Othoba,200,OK,Thread Group 1-6,text,true,,146258,224,9,9,https://www.othoba.com/,104,0,50
1665867024664,104,Othoba-0,301,Moved Permanently,Thread Group 1-6,text,true,,768,112,9,9,http://www.othoba.com/,104,0,50
1665867024769,497,Othoba-1,200,OK,Thread Group 1-6,text,true,,145490,112,9,9,https://www.othoba.com/,233,0,162
1665867024861,865,Othoba,200,OK,Thread Group 1-7,text,true,,146408,224,10,10,https://www.othoba.com/,112,0,56
1665867024861,112,Othoba-0,301,Moved Permanently,Thread Group 1-7,text,true,,768,112,10,10,http://www.othoba.com/,112,0,56
1665867024974,752,Othoba-1,200,OK,Thread Group 1-7,text,true,,145640,112,10,10,https://www.othoba.com/,462,0,179
1665867025242,720,Othoba,200,OK,Thread Group 1-9,text,true,,146363,224,10,10,https://www.othoba.com/,158,0,56
1665867025242,158,Othoba-0,301,Moved Permanently,Thread Group 1-9,text,true,,768,112,10,10,http://www.othoba.com/,158,0,56
1665867025402,560,Othoba-1,200,OK,Thread Group 1-9,text,true,,145595,112,10,10,https://www.othoba.com/,296,0,191
1665867025045,920,Othoba,200,OK,Thread Group 1-8,text,true,,146408,224,10,10,https://www.othoba.com/,108,0,57
1665867025045,108,Othoba-0,301,Moved Permanently,Thread Group 1-8,text,true,,768,112,10,10,http://www.othoba.com/,108,0,57
1665867025154,811,Othoba-1,200,OK,Thread Group 1-8,text,true,,145640,112,10,10,https://www.othoba.com/,419,0,188
1665867025021,945,WeeklyOffer,200,OK,Thread Group 1-2,text,true,,330534,264,10,10,https://www.othoba.com/special-weekly-offer,52,0,0
1665867025021,52,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-2,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,52,0,0
1665867025074,892,WeeklyOffer-1,200,OK,Thread Group 1-2,text,true,,329726,132,10,10,https://www.othoba.com/special-weekly-offer,513,0,0
1665867025441,651,Othoba,200,OK,Thread Group 1-10,text,true,,146370,224,10,10,https://www.othoba.com/,131,0,52
1665867025441,132,Othoba-0,301,Moved Permanently,Thread Group 1-10,text,true,,768,112,10,10,http://www.othoba.com/,131,0,52
1665867025574,518,Othoba-1,200,OK,Thread Group 1-10,text,true,,145602,112,10,10,https://www.othoba.com/,274,0,163
1665867025015,1093,WeeklyOffer,200,OK,Thread Group 1-3,text,true,,330536,264,10,10,https://www.othoba.com/special-weekly-offer,52,0,0
1665867025015,52,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-3,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,52,0,0
1665867025067,1041,WeeklyOffer-1,200,OK,Thread Group 1-3,text,true,,329728,132,10,10,https://www.othoba.com/special-weekly-offer,668,0,0
1665867025268,1282,WeeklyOffer,200,OK,Thread Group 1-6,text,true,,330551,264,10,10,https://www.othoba.com/special-weekly-offer,52,0,0
1665867025268,52,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-6,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,52,0,0
1665867025320,1230,WeeklyOffer-1,200,OK,Thread Group 1-6,text,true,,329743,132,10,10,https://www.othoba.com/special-weekly-offer,839,0,0
1665867025106,1444,WeeklyOffer,200,OK,Thread Group 1-5,text,true,,330596,264,10,10,https://www.othoba.com/special-weekly-offer,64,0,0
1665867025106,65,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-5,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,64,0,0
1665867025171,1379,WeeklyOffer-1,200,OK,Thread Group 1-5,text,true,,329788,132,10,10,https://www.othoba.com/special-weekly-offer,990,0,0
1665867025010,1540,WeeklyOffer,200,OK,Thread Group 1-1,text,true,,330627,264,10,10,https://www.othoba.com/special-weekly-offer,51,0,0
1665867025010,51,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-1,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,51,0,0
1665867025062,1488,WeeklyOffer-1,200,OK,Thread Group 1-1,text,true,,329819,132,10,10,https://www.othoba.com/special-weekly-offer,1076,0,0
1665867025020,1546,WeeklyOffer,200,OK,Thread Group 1-4,text,true,,330551,264,10,10,https://www.othoba.com/special-weekly-offer,51,0,0
1665867025020,51,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-4,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,51,0,0
1665867025071,1495,WeeklyOffer-1,200,OK,Thread Group 1-4,text,true,,329743,132,10,10,https://www.othoba.com/special-weekly-offer,1067,0,0
1665867025966,867,Mobile,200,OK,Thread Group 1-2,text,true,,262550,236,10,10,https://www.othoba.com/mobile,63,0,0
1665867025966,63,Mobile-0,301,Moved Permanently,Thread Group 1-2,text,true,,780,118,10,10,http://www.othoba.com/mobile,63,0,0
1665867026029,804,Mobile-1,200,OK,Thread Group 1-2,text,true,,261770,118,10,10,https://www.othoba.com/mobile,548,0,0
1665867026109,726,Mobile,200,OK,Thread Group 1-3,text,true,,262551,236,10,10,https://www.othoba.com/mobile,58,0,0
1665867026109,58,Mobile-0,301,Moved Permanently,Thread Group 1-3,text,true,,780,118,10,10,http://www.othoba.com/mobile,58,0,0
1665867026168,667,Mobile-1,200,OK,Thread Group 1-3,text,true,,261771,118,10,10,https://www.othoba.com/mobile,428,0,0
1665867025726,1239,WeeklyOffer,200,OK,Thread Group 1-7,text,true,,330573,264,10,10,https://www.othoba.com/special-weekly-offer,56,0,0
1665867025726,56,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-7,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,56,0,0
1665867025783,1182,WeeklyOffer-1,200,OK,Thread Group 1-7,text,true,,329765,132,10,10,https://www.othoba.com/special-weekly-offer,751,0,0
1665867025963,1033,WeeklyOffer,200,OK,Thread Group 1-9,text,true,,330535,264,10,10,https://www.othoba.com/special-weekly-offer,65,0,0
1665867025963,65,WeeklyOffer-0,301,Moved Permanently,Thread Group 1-9,text,true,,808,132,10,10,http://www.othoba.com/special-weekly-offer,65,0,0
1665867026028,968,WeeklyOffer-1,200,OK,Thread Group 1-9,text,true,,329727,132,10,10,https://www.othoba.com/special-weekly-offer,569,0,0
1665867026093,959,WeeklyOffer,200,OK,Thread Group 1-10,text,true,,330529,264,10,10,https://www.othoba.com/special-weekly-offer,68,0,0
